cluster_id,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,loudness
0,0.5566008382467855,0.6905961497478157,0.42245095545925987,0.14019577245577916,0.011290219833061655,0.16469105633302553,0.07889607870995247,153.801720110819,-5.803840875186471
1,0.7896990538872898,0.49341571369806636,0.47412733854380906,0.38935181266968344,0.005867439138626689,0.14761266145619087,0.09527637186343069,114.23782994652407,-8.353867215137804
2,0.7177214616468692,0.7551969498691364,0.7200352325347283,0.13684025661868382,0.006501011595531195,0.15352562915240583,0.0855967133078318,116.90893381316691,-5.580347342460242
3,0.4931476987085027,0.3142734593048457,0.2877389390656151,0.7228051313166339,0.01802732687787141,0.1484674785472827,0.0648054173528648,111.71755907081565,-11.043169454797615
4,0.5558822809967892,0.682611450848494,0.3624056031187891,0.1256504691216941,0.010266871466901598,0.17821585384497785,0.08031102277939155,97.39864921265854,-5.846138587371956
5,0.6864370886566009,0.6011209575429087,0.5391250612982319,0.3632615731062074,0.0046523671402767565,0.16802666150471018,0.3894733514001808,92.49165711704742,-8.435759969028261
6,0.397243512974052,0.1228749912175649,0.2356044910179641,0.8834980039920168,0.7160057329341311,0.12454970059880247,0.05603782435129745,119.03748602794411,-25.28399700598801
7,0.6188508907823392,0.6526769945778466,0.48585046475600313,0.29381434950038726,0.7293443067389608,0.17379260263361734,0.09693710302091402,126.91419442292795,-8.546216498838112
8,0.5998839299086415,0.6901960461285008,0.5643733862513107,0.23249536121012412,0.010170473928411253,0.5969940092856075,0.1768358244720683,127.72545873895466,-6.71577909240677
9,0.6959216815786247,0.6269769579605344,0.5047925726191937,0.17114556304694262,0.0010605435751935982,0.16658537811006244,0.328659394533644,157.09685108469174,-7.394390121338399
